model,variant_id,ndcg@10,risk_fit@10,rec_pop@10,ndcg@20,risk_fit@20,rec_pop@20,gini_index,catalog_coverage
MF_SVD_50,37,0.03169340083884359,0.8847118517395016,4.03243158651386,0.04016284495676434,0.88471480255685,3.9218397585839146,0.8822401769287658,0.2456575682382134
MF_SVD_50,38,0.033195628638633366,0.8837997563958783,4.047812046985677,0.04205403963282079,0.8839444878778245,3.941299073457068,0.8808508275998195,0.24193548387096775
MF_SVD_50,39,0.030508403345250627,0.8843901992390586,4.098508494506776,0.038175784624676405,0.8847609285313385,3.9990452840490462,0.8808818986618019,0.24069478908188585
MF_SVD_50,40,0.031556858079310954,0.8818355754812104,4.126117752360642,0.039516225035164804,0.8820642835334804,3.9906522736926355,0.8793613349318314,0.2456575682382134
MF_SVD_50,41,0.031124487246229324,0.8826872897402971,4.133946422668058,0.04053962958163282,0.8828913565759183,4.013642887601395,0.8800770640203002,0.24317617866004962
MF_SVD_50,42,0.03414241861878145,0.8817455353441557,4.134046692478227,0.04366883437635666,0.8819365899115843,4.025816776053682,0.879147645480566,0.24193548387096775
MF_SVD_50,43,0.03393051872601969,0.8800476006589346,4.0404022215780255,0.043968977226285316,0.8805290415818909,3.9630228560404968,0.8851583899970996,0.24317617866004962
MF_SVD_50,44,0.037475041453234076,0.8820365454510115,4.034748785876881,0.04607400260827427,0.8810295897491319,3.944399417772591,0.8832412712317899,0.23821339950372208
MF_SVD_50,45,0.0387498349525781,0.8829982826714506,3.9979880319080725,0.04754937238593897,0.8837876602958341,3.916349288134746,0.8826044646070501,0.23821339950372208
MF_SVD_50,46,0.04112718157486907,0.8830249453189416,3.979672896969788,0.04956096163607491,0.8829714033491196,3.941964682669275,0.8836908959677816,0.24317617866004962
MF_SVD_50,47,0.03600956259777468,0.8872110951653485,4.0327296579828324,0.04398916198994655,0.8860451377100834,3.9465854061132823,0.8815676618577524,0.24193548387096775
MF_SVD_50,48,0.035897162092379746,0.8865021286992928,4.11139675420045,0.04526824202564266,0.8858319211759161,4.051399193882482,0.8829760902083563,0.24069478908188585
MF_SVD_50,49,0.035234524624733275,0.8861212810464435,4.095693822539576,0.043266027899108266,0.884708835289132,4.062695836081393,0.8803915486790248,0.24813895781637718
BPR_MF,0,0.16431632634264715,0.879357799486069,5.109426311631176,0.19814198505243008,0.8797450580295345,4.766142701345794,0.9316529929433155,0.7779156327543424
BPR_MF,1,0.148404726672535,0.8829194654060217,4.992428938320847,0.18516246569358918,0.8834678871812491,4.710205590256955,0.9288556101631684,0.7692307692307693
BPR_MF,2,0.20661477369160028,0.8836980119493482,5.351483923525585,0.2471854781723603,0.884554601195947,5.023017931167187,0.9396188147077149,0.7692307692307693
BPR_MF,3,0.24877114113004167,0.889762647733917,5.48412946258087,0.29014189955577596,0.8903248811577656,5.127992263410269,0.9433080164330672,0.728287841191067
BPR_MF,4,0.2942707364930431,0.8917851359649726,5.673479311704938,0.34046125943432376,0.8919229410619874,5.3378907010103545,0.9531752111639533,0.6972704714640199
BPR_MF,5,0.27286135082044843,0.891305820302768,5.687955867310445,0.3224831682469402,0.8915156465358849,5.355654733492957,0.9527478608002424,0.7047146401985112
BPR_MF,6,0.32649460866069197,0.8908871392452505,5.77455053149202,0.3757597632574709,0.8920619599678165,5.378756405974966,0.9530020020721262,0.6550868486352357
BPR_MF,7,0.31949022188466303,0.8925119464212415,5.719977685660781,0.3718912392707296,0.893123528994643,5.393927167000933,0.9557675287069105,0.5992555831265509
BPR_MF,8,0.347366538419199,0.8928137834820234,5.699255292339321,0.3980405084045227,0.8930191571290657,5.348169773489088,0.9555148579720623,0.630272952853598
BPR_MF,9,0.31086745298562213,0.8928918825828213,5.790754912208099,0.3685331037654174,0.8935197623409855,5.4016561706269846,0.9537505576156355,0.6885856079404467
BPR_MF,10,0.3791630644084774,0.892804991152791,5.859707188207645,0.43027797655674516,0.8931839870589043,5.435387157374641,0.9564789268352649,0.6488833746898263
BPR_MF,11,0.3390169853954217,0.8926616017660133,5.746253244134732,0.39874451643891035,0.893526451089215,5.4031407366514905,0.9534818244750616,0.7047146401985112
